no,status,start,end,effective,platform,name,group
259, Dormant      , 2006-01-30 , 2006-03-01 ,            , Java ME , Ad Hoc Networking API,
260, Withdrawn    ,            ,            , 2011-03-22 ,  ," Javadoc<font size=""-2""><sup>TM</sup></font> Tag Technology Update",
261, Withdrawn    ,            ,            , 2006-12-15 ,  ," Java<sup><font size=""-2"">TM</font></sup> API for XML Web Services Addressing (JAX-WSA)",
262, Withdrawn    ,            ,            , 2016-03-24 ,  , Web Services Connector for Java Management Extensions (JMX) Agents,
263, Final        , 2007-09-14 ,            ,            ,  , Fault Management API,
264, Final        , 2007-09-24 ,            ,            ,  , Order Management API,
265, Withdrawn    ,            ,            , 2010-01-28 ,  , API for Utilizing Web Services Policy,
266, Dormant      , 2006-04-14 , 2006-05-14 ,            , Java ME , Unified Message Box Access API (UMBA-API),
267, Withdrawn    ,            ,            , 2008-02-06 ,  , JSP Tag Library for Web Services,
268, Final        , 2006-12-11 ,            ,            ,  ," Java<sup><font size=""-2"">TM</font></sup> Smart Card I/O API",
269, Active       , 2019-01-29 , 2019-02-04 ,            , Java SE , Pluggable Annotation Processing API,
270, Maintenance  , 2015-03-18 ,            ,            , Java SE ," Java<sup><font size=""-2"">TM</font></sup> SE 6 Release Contents",
271, Final        , 2009-12-09 ,            ,            , Java ME , Mobile Information Device Profile 3,
272, Final        , 2008-12-05 ,            ,            , Java ME , Mobile Broadcast Service API for Handheld Terminals,
273, Withdrawn    ,            ,            , 2011-03-22 ,  ," Design-Time API for JavaBeans<sup><font size=""-2"">TM</font></sup> JBDT",
274, Dormant      , 2005-06-07 ,            ,            ,  , The BeanShell Scripting Language,
275, Rejected     ,            ,            , 2010-03-09 ,  , Units Specification,
276, Dormant      , 2010-04-09 , 2010-05-09 ,            ,  ," Design-Time Metadata for JavaServer<font size=""-2""><sup>TM</sup></font> Faces Components",
277, Withdrawn    ,            ,            , 2016-01-20 , Java SE ," Java<font size=""-2""><sup>TM</sup></font> Module System",
278, Dormant      , 2007-01-30 , 2007-02-05 ,            , Java ME ," Resource Management API for Java<sup><font size=""-2"">TM</font></sup> ME",
279, Final        , 2009-11-16 ,            ,            , Java ME ," Service Connection API for Java<sup><font size=""-2"">TM</font></sup>  ME",
280, Final        , 2007-10-11 ,            ,            , Java ME ," XML API for Java<sup><font size=""-2"">TM</font></sup> ME",
281, Maintenance  , 2009-04-22 ,            ,            , Java ME , IMS Services API,
282, Active       , 2018-06-11 , 2018-07-11 ,            , Java ME , RTSJ version 1.1,
283, Final        , 2009-09-25 ,            ,            ,  ," Content Repository for Java<sup><font size=""-2"">TM</font></sup> Technology API Version 2.0",
284, Final        , 2009-01-22 ,            ,            ,  , Resource Consumption Management API,
285, Dormant      , 2005-11-15 ,            ,            ,  , Performance Management API,
286, Maintenance  , 2015-08-18 , 2015-08-24 ,            ,  , Portlet Specification 2.0,
287, Final        , 2009-12-10 ,            ,            , Java ME ," Scalable 2D Vector Graphics API 2.0 for Java ME<font size=""-2""><sup>TM</sup></font>",
288, Rejected     ,            ,            , 2006-02-22 , Java ME ," Adaptive Java<font size=""-2""><sup>TM</sup></font> ME System API",
289, Final        , 2008-08-21 ,            ,            ,  , SIP Servlet v1.1,
290, Dormant      , 2009-05-01 ,            ,            , Java ME ," Java<sup><font size=""-2"">TM</font></sup> Language &amp; XML User Interface Markup Integration",
291, Final        , 2007-08-07 ,            ,            ,  ," Dynamic Component Support for Java<sup><font size=""-2"">TM</font></sup> SE",
292, Final        , 2011-07-20 ,            ,            , Java SE ," Supporting Dynamically Typed Languages on the Java<font size=""-2""><sup>TM</sup></font> Platform",
293, Final        , 2008-11-04 ,            ,            , Java ME , Location API 2.0,
294, Withdrawn    ,            ,            , 2016-01-20 , Java SE ," Improved Modularity Support in the Java<font size=""-2""><sup>TM</sup></font> Programming Language",
295, Withdrawn    ,            ,            , 2011-05-02 ,  , Beans Binding,
296, Withdrawn    ,            ,            , 2011-06-06 ,  , Swing Application Framework,
297, Dormant      , 2009-04-14 ,            ,            , Java ME , Mobile 3D Graphics API 2.0,
298, Final        , 2008-10-14 ,            ,            , Java ME ," Telematics API for Java<sup><font size=""-2"">TM</font></sup> ME",
299, Final        , 2009-12-10 ,            ,            ,  ," Contexts and Dependency Injection for the Java<font size=""-2""><sup>TM</sup></font> EE platform",
300, Final        , 2010-02-04 ,            ,            , Java ME ," DRM API for Java<sup><font size=""-2"">TM</font></sup> ME",
301, Final        , 2010-07-08 ,            ,            ,  ," Portlet 1.0 Bridge for JavaServer<font size=""-2""><sup>TM</sup></font> Faces 1.2",
302, Active       , 2018-06-11 , 2018-07-11 ,            , Java ME ," Safety Critical Java<font size=""-2""><sup>TM</sup></font> Technology",
303, Final        , 2009-11-16 ,            ,            ,  , Bean Validation,
304, Dormant      , 2006-08-01 ,            ,            , Java ME , Mobile Telephony API version 2,
305, Dormant      , 2006-09-12 ,            ,            ,  , Annotations for Software Defect Detection,
306, Withdrawn    ,            ,            , 2010-12-16 ,  , Towards a new version of the JCP,
307, Dormant      , 2009-02-17 , 2009-02-23 ,            , Java ME , Network Mobility and Mobile Data API,
308, Final        , 2014-03-04 ,            ,            , Java SE , Annotations on Java Types,
309, Final        , 2009-12-21 ,            ,            ,  , Media Server Control API,
310, Final        , 2014-03-04 ,            ,            , Java SE , Date and Time API,
311, Maintenance  , 2009-11-23 ,            ,            ,  ," JAX-RS: The Java<font size=""-2""><sup>TM</sup></font> API for RESTful Web Services",
312, Withdrawn    ,            ,            , 2010-12-17 ,  ," Java<sup><font size=""-2"">TM</font></sup> Business Integration 2.0 (JBI 2.0)",
313, Withdrawn    ,            ,            , 2007-04-13 , Java EE ," Java<font size=""-2""><sup>TM</sup></font> Platform, Enterprise Edition 6 (Java EE 6) Specification",
314, Maintenance  , 2010-11-22 ,            ,            ,  , JavaServer Faces 2.0,
315, Maintenance  , 2011-03-09 ,            ,            , Java EE ," Java<sup><font size=""-2"">TM</font></sup> Servlet 3.0 Specification",
316, Final        , 2009-12-10 ,            ,            , Java EE ," Java<font size=""-2""><sup>TM</sup></font> Platform, Enterprise Edition 6 (Java EE 6) Specification",
317, Final        , 2009-12-10 ,            ,            , Java EE ," Java<font size=""-2""><sup>TM</sup></font> Persistence 2.0",
318, Maintenance  , 2017-08-18 ,            ,            , Java EE ," Enterprise JavaBeans<font size=""-2""><sup>TM</sup></font> 3.1/Interceptors 1.2",
319, Final        , 2010-06-15 ,            ,            ,  , Availability Management for Java,
320, Dormant      , 2007-11-13 ,            ,            , Java ME , Services Framework,
321, Final        , 2011-12-05 ,            ,            ,  ," Trusted Computing API for Java<sup><font size=""-2"">TM</font></sup>",
322, Maintenance  , 2013-06-10 ,            ,            , Java EE ," Java<sup><font size=""-2"">TM</font></sup> EE Connector Architecture 1.6",
323, Rejected     ,            ,            , 2008-01-22 ,  ," Strong Mobility for Java<sup><font size=""-2"">TM</font></sup>",
324, Rejected     ,            ,            , 2008-04-15 ,  , On Screen MIDlet API for Java ME,
325, Final        , 2010-10-26 ,            ,            , Java ME , IMS Communication Enablers (ICE),
326, Dormant      , 2009-10-29 , 2009-11-28 ,            ,  , Post mortem JVM Diagnostics API,
327, Dormant      , 2010-04-30 ,            ,            , Java ME ," Dynamic Contents Delivery Service API for Java<font size=""-2""><sup>TM</sup></font> ME",
328, Withdrawn    ,            ,            , 2016-04-11 ,  , Change Management API,
329, Maintenance  , 2015-08-18 , 2015-08-24 ,            ,  ," Portlet 2.0 Bridge for JavaServer<font size=""-2""><sup>TM</sup></font> Faces 1.2 Specification",
330, Final        , 2009-10-14 ,            ,            ,  , Dependency Injection for Java,
331, Maintenance  , 2012-10-16 ,            ,            ,  , Constraint Programming API,
332, Dormant      , 2009-11-17 , 2009-11-30 ,            ,  ," Email Client API for Java<font size=""-2""><sup>TM</sup></font> ME",
333, Dormant      , 2013-08-31 ,            ,            ,  , Content Repository API for Java Technology 2.1,
334, Final        , 2011-07-20 ,            ,            , Java SE ," Small Enhancements to the Java<font size=""-2""><sup>TM</sup></font> Programming Language",
335, Final        , 2014-03-04 ,            ,            , Java SE ," Lambda Expressions for the Java<font size=""-2""><sup>TM</sup></font> Programming Language",
336, Maintenance  , 2015-03-12 ,            ,            , Java SE ," Java<font size=""-2""><sup>TM</sup></font> SE 7 Release Contents",
337, Active       , 2019-03-12 , 2019-03-18 ,            , Java SE ," Java<font size=""-2""><sup>TM</sup></font> SE 8 Release Contents",
338, Maintenance  , 2017-08-04 ,            ,            ,  ," Java<font size=""-2""><sup>TM</sup></font> Persistence 2.2",
339, Maintenance  , 2014-10-13 ,            ,            ,  , JAX-RS 2.0: The Java API for RESTful Web Services,
340, Final        , 2013-05-28 ,            ,            ,  , Java Servlet 3.1 Specification,
341, Final        , 2013-05-22 ,            ,            ,  , Expression Language 3.0,
342, Maintenance  , 2015-07-03 ,            ,            , Java EE ," Java<font size=""-2""><sup>TM</sup></font> Platform, Enterprise Edition 7 (Java EE 7) Specification",
343, Maintenance  , 2015-03-16 ,            ,            , Java EE ," Java<font size=""-2""><sup>TM</sup></font> Message Service 2.0",
344, Final        , 2013-05-21 ,            ,            ,  ," JavaServer<font size=""-2""><sup>TM</sup></font> Faces 2.2",
345, Final        , 2013-05-28 ,            ,            ,  ," Enterprise JavaBeans<sup><font size=""-2"">TM</font></sup> 3.2",
346, Maintenance  , 2014-04-18 ,            ,            ,  ," Contexts and Dependency Injection for Java<font size=""-2""><sup>TM</sup></font> EE 1.1",
347, Withdrawn    ,            ,            , 2015-01-06 ,  ," Data Grids for the Java<font size=""-2""><sup>TM</sup></font> Platform",
348, Final        , 2011-10-18 ,            ,            ,  , Towards a new version of the Java Community Process,
349, Final        , 2013-05-24 ,            ,            ,  , Bean Validation 1.1,
350, Rejected     ,            ,            , 2015-05-12 ,  , Java State Management,
351, Withdrawn    ,            ,            , 2016-07-06 ,  ," Java<font size=""-2""><sup>TM</sup></font> Identity API",
352, Maintenance  , 2014-08-19 ,            ,            ,  , Batch Applications for the Java Platform,
353, Final        , 2013-05-23 ,            ,            ,  ," Java<sup><font size=""-2"">TM</font></sup> API for JSON Processing",
354, Active       , 2018-10-30 , 2018-11-05 ,            ,  , Money and Currency API,
355, Final        , 2012-08-22 ,            ,            ,  , JCP Executive Committee Merge,
356, Maintenance  , 2014-08-13 ,            ,            ,  ," Java<sup><font size=""-2"">TM</font></sup> API for WebSocket",
357, Rejected     ,            ,            , 2012-03-20 ,  , Social Media API,
358, Withdrawn    ,            ,            , 2016-03-30 ,  , A major revision of the Java Community Process,
359, Final        , 2015-04-11 ,            ,            ,  , SIP Servlet 2.0,
360, Final        , 2014-04-30 ,            ,            , Java ME , Connected Limited Device Configuration 8,
361, Final        , 2014-04-30 ,            ,            , Java ME ," Java<font size=""-2""><sup>TM</sup></font> ME Embedded Profile",
362, Final        , 2017-04-12 ,            ,            ,  , Portlet Specification 3.0,
363, Final        , 2016-09-13 ,            ,            ,  , Units of Measurement API,
364, Maintenance  , 2017-10-31 ,            ,            ,  , Broadening JCP Membership,
365, Final        , 2017-05-22 ,            ,            ,  ," Contexts and Dependency Injection for Java<sup><font size=""_2"">TM</font></sup> 2.0",
366, Final        , 2017-09-18 ,            ,            , Java EE ," Java Platform, Enterprise Edition 8 (Java EE 8) Specification",
367, Final        , 2017-07-07 ,            ,            , Java EE ," Java<sup><font size=""-2"">TM</font></sup> API for JSON Binding (JSON-B)",
368, Withdrawn    ,            ,            , 2016-11-29 , Java EE ," Java<font size=""-2""><sup>TM</sup></font> Message Service 2.1",
369, Final        , 2017-09-05 ,            ,            , Java EE ," Java<font size=""-2""><sup>TM</sup></font> Servlet 4.0 Specification",
370, Final        , 2017-08-22 ,            ,            , Java EE ," Java<font size=""-2""><sup>TM</sup></font> API for RESTful Web Services (JAX-RS 2.1) Specification",
371, Active       , 2018-09-28 ,            ,            , Java EE , Model-View-Controller (MVC 1.0) Specification,
372, Final        , 2017-04-17 ,            ,            , Java EE , JavaServer Faces (JSF 2.3) Specification.,
373, Withdrawn    ,            ,            , 2016-11-29 , Java EE ," Java<sup><font size=""-2"">TM</font></sup> EE Management API 2.0",
374, Final        , 2017-05-24 ,            ,            , Java EE ," Java<sup><font size=""-2"">TM</font></sup> API for JSON Processing 1.1",
375, Final        , 2017-09-19 ,            ,            , Java EE ," Java<sup><font size=""-2"">TM</font></sup> EE Security API",
376, Final        , 2017-09-21 ,            ,            , Java SE ," Java<sup><font size=""-2"">TM</font></sup> Platform Module System",
377, Active       , 2018-06-05 , 2018-06-11 ,            ,  , Desktop&#124;Embedded Application API,
378, Active       , 2018-07-20 , 2018-10-17 ,            ,  ," Portlet 3.0 Bridge for JavaServer<font size=""-2""><sup>TM</sup></font> Faces 2.2 Specification",
379, Final        , 2017-09-21 ,            ,            , Java SE ," Java<sup><font size=""-2"">TM</font></sup> SE 9 Release Contents",
380, Final        , 2017-08-21 ,            ,            , Java EE , Bean Validation 2.0,
381, Active       , 2018-08-02 , 2018-09-30 ,            ,  , Visual Recognition (VisRec) Specification,
382, Active       , 2017-09-26 , 2017-10-09 ,            ,  , Configuration API 1.0,
383, Active       , 2018-03-14 ,            ,            , Java SE , Java™ SE 10 (18.3),
384, Active       , 2019-03-12 , 2019-03-18 ,            , Java SE ," Java<sup><font size=""-2"">TM</font></sup> SE 11 (18.9)",
385, Active       , 2018-09-13 , 2018-10-13 ,            ,  , Units of Measurement API 2.0,
386, Active       , 2018-12-04 , 2018-12-10 ,            , Java SE , Java SE 12,
387, Active       , 2018-12-17 ,            ,            ,  , Streamline the JCP Program,
388, Active       , 2018-12-18 , 2018-12-24 ,            , Java SE ," Java<sup><font size=""-2"">TM</font></sup> SE 13",
901, Maintenance  , 2011-08-05 ,            ,            , Java SE ," Java<sup><font size=""-2"">TM</font></sup> Language Specification",
902, Maintenance  , 2000-04-12 , 2000-05-12 ,            , Java EE ," Java™ Servlet API Specification, Version 2.2, Errata Sheet, 4/1/2000",
903, Maintenance  , 2000-05-05 , 2000-06-05 ,            , Java EE ," Java™ Servlet API Specification, Version 2.2, Errata Sheet, 4/27/2000",
904, Maintenance  , 2000-05-25 , 2000-06-25 ,            , Java EE ," JavaMail<sup><font size=""-2"">TM</font></sup> Specification",
905, Maintenance  , 2000-05-08 , 2000-06-08 ,            ,  ," Enterprise JavaBeans<sup><font size=""-2"">TM</font></sup> Specification Version 1.1, Errata Sheet, 5/4/2000",
906, Maintenance  , 2000-06-06 , 2000-07-06 ,            ,  ," JavaServer Pages<sup><font size=""-2"">TM</font></sup> Specification Version 1.1, Errata Sheet 2000.04.28",
907, Active       , 2018-04-02 ,            ,            , Java EE ," Java<sup><font size=""-2"">TM</font></sup> Transaction API (JTA)",
908, Maintenance  , 2000-09-20 , 2000-10-20 ,            ,  ," Java<sup><font size=""-2"">TM</font></sup> Media Framework, version 2.0 - Minor changes",
909, Maintenance  , 2000-11-03 , 2000-12-05 ,            ,  ," Java<sup><font size=""-2"">TM</font></sup> Specification Participation Agreement",
910, Maintenance  , 2000-12-20 , 2001-01-18 ,            , Java SE , JDBC 2.1 Errata Sheet,
911, Maintenance  , 2001-02-21 , 2001-03-23 ,            ,  , API Specification Differences in Ladybird,
912, Maintenance  , 2001-11-21 , 2002-02-11 ,            ,  ," Java 3D<sup><font size=""-2"">TM</font></sup> API 1.3",
913, Maintenance  , 2001-05-08 , 2001-06-11 ,            ,  , JCP 2.0,
914, Final        , 2003-12-02 ,            ,            , Java EE ," Java<sup><font size=""-2"">TM</font></sup> Message Service (JMS) API",
915, Maintenance  , 2001-07-26 , 2001-08-27 ,            , Java SE ," J2SE<sup><font size=""-2"">TM</font></sup> 1.4 (Merlin) Maintenance Review",
916, Maintenance  , 2001-10-01 , 2001-11-05 ,            , Java SE ," J2SE<sup><font size=""-2"">TM</font></sup> 1.4 (Merlin) Beta 2 Maintenance Review",
917, Maintenance  , 2001-11-07 , 2001-12-10 ,            , Java SE ," J2SE<sup><font size=""-2"">TM</font></sup> 1.4 (Merlin) Beta 3 Maintenance Review",
918, Maintenance  , 2002-01-08 , 2002-02-11 ,            , Java SE ," J2SE<sup><font size=""-2"">TM</font></sup> 1.4 Release Candidate",
919, Maintenance  , 2017-08-21 ,            ,            , Java EE ," JavaMail<sup><font size=""-2"">TM</font></sup>",
920, Maintenance  , 2002-04-26 , 2002-05-28 ,            ,  , JMF 2.1.1.,
921, Final        , 2004-01-23 ,            ,            , Java EE , Implementing Enterprise Web Services 1.1,
922, Withdrawn    ,            ,            , 2002-12-04 ,  ," Java<sup><font size=""-2"">TM</font></sup> Communication API",
923, Maintenance  , 2003-04-04 , 2003-05-05 ,            , Java SE ," J2SE<sup><font size=""-2"">TM</font></sup> 1.4.2 (Mantis) Beta",
924, Maintenance  , 2011-08-05 ,            ,            , Java SE ," Java<sup><font size=""-2"">TM</font></sup> Virtual Machine Specification",
925, Maintenance  , 2017-09-21 ,            ,            , Java SE ," JavaBeans<font size=""-2""><sup>TM</sup></font> Activation Framework 1.1",
926, Maintenance  , 2007-01-18 ,            ,            ,  ," Java 3D<font size=""-2""><sup>TM</sup></font>",
927, Maintenance  , 2008-10-20 ,            ,            , Java ME ," Java<font size=""-2""><sup>TM</sup></font> TV API 1.1",
